"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"B","05",0.0432,0.0422,0.0481,0.0422,0.3584,0.4065,"B05",0.882582081246522,0.966092427935448,7.65750776956432,8.09008870581408,5.34704812246219,2020-02-13,"Tank3",17,7.77109728390627
"B","06",0.0384,0.0354,0.0395,0.0369,0.4039,0.5758,"B06",0.687988099665303,0.77207823912235,7.55448496317902,8.09008870581408,6.62049282908537,2020-02-13,"Tank4",17,7.66395242328366
"B","07",0.0399,0.0372,0.0387,0.0413,0.5736,1.1102,"B07",0.499953275394823,0.584603664610784,7.42785391990252,8.09008870581408,8.18575432226893,2020-02-13,"Tank7",17,7.53102269598604
"B","08",0.0357,0.0321,0.0354,0.0369,0.2787,0.3782,"B08",0.718384074941452,0.802383649590164,7.57210762215546,8.09008870581408,6.40266259733795,2020-02-13,"Tank8",17,7.68234891159759
"B","09",0.0355,0.0322,0.0361,0.0368,0.4413,0.8083,"B09",0.528992087170839,0.613555955247114,7.44978528105944,8.09008870581408,7.91466506781912,2020-02-13,"Tank9",17,7.55412480620295
"B","10",0.0353,0.0321,0.0365,0.0353,0.3476,0.4984,"B10",0.683048278848235,0.767153136501407,7.55155836037637,8.09008870581408,6.65666799241256,2020-02-13,"Tank10",17,7.66089462480312
"B","11",0.0415,0.0394,0.0444,0.0419,0.6281,0.5812,"B11",1.09675615212528,1.17962836717002,7.75029025018283,8.09008870581408,4.20018207448149,2020-02-13,"Tank11",17,7.86678515553143
"B","12",0.0373,0.0337,0.0375,0.0371,0.4136,0.3444,"B12",1.23770758710518,1.3201598373494,7.80311412979849,8.09008870581408,3.54723645748596,2020-02-13,"Tank12",17,7.92096116615011
"C","02",0.0356,0.0319,0.0341,0.037,0.9478,1.2688,"C02",0.741506527203438,0.825437208505635,7.58509058918217,8.09008870581408,6.2421826879226,2020-02-13,"Sump",13.5,7.74615298948057
"C","03",0.036,0.0321,0.0354,0.0362,0.3576,0.4647,"C03",0.758098345374038,0.841979591353996,7.59419432928187,8.09008870581408,6.12965314182316,2020-02-13,"Tank1",17,7.7053657160627
"C","04",0.0377,0.0342,0.0366,0.0365,0.3254,0.385,"C04",0.836384439359268,0.920032431922197,7.6349668200314,8.09008870581408,5.6256723792856,2020-02-13,"Tank2",17,7.74773748570573
"C","05",0.0386,0.0356,0.0409,0.0393,0.5306,0.7063,"C05",0.743643749059726,0.827568062509403,7.58627301006154,8.09008870581408,6.22756701530933,2020-02-13,"Tank3",17,7.69711595001151
"C","06",0.0353,0.0317,0.034,0.0354,0.3514,0.4714,"C06",0.730848387834439,0.814810825062886,7.57914994906578,8.09008870581408,6.31561377542264,2020-02-13,"Tank4",17,7.68969263501438
"C","07",0.0405,0.0369,0.0405,0.0401,0.3377,0.4348,"C07",0.763111223714213,0.846977533823157,7.59691118041121,8.09008870581408,6.09607067779663,2020-02-13,"Tank7",17,7.70819389091851
"C","08",0.0381,0.0348,0.0376,0.0379,0.329,0.4316,"C08",0.746829020801624,0.830743843734145,7.58802986557523,8.09008870581408,6.2058508688297,2020-02-13,"Tank8",17,7.69894614774831
"C","09",0.0416,0.0385,0.0413,0.0396,0.4121,0.6515,"C09",0.613524991832734,0.697836994119569,7.50832908119045,8.09008870581408,7.1910166350282,2020-02-13,"Tank9",17,7.61564152864714
"C","10",0.0385,0.0352,0.0387,0.0367,0.3277,0.4269,"C10",0.754615384615385,0.838507008076923,7.59229755451457,8.09008870581408,6.15309880275805,2020-02-13,"Tank10",17,7.70339081837104
"C","11",0.0346,0.0311,0.0334,0.0351,0.4451,0.3717,"C11",1.22409709887507,1.30658990156898,7.79824693130779,8.09008870581408,3.60739894355617,2020-02-13,"Tank11",17,7.91597755571541
"C","12",0.0357,0.0322,0.0362,0.0364,0.4135,0.3381,"C12",1.26361221779548,1.34598728519256,7.81225151412713,8.09008870581408,3.43429104167031,2020-02-13,"Tank12",17,7.93031287575017
"D","01",0.0357,0.0323,0.0355,0.0359,0.5053,0.5299,"D01",0.956697693241602,1.03998721246459,7.69162639762494,8.09008870581408,4.92531445177825,2020-02-13,"Tank13",17,7.8063689840557
"D","02",0.0352,0.0315,0.0341,0.0351,0.459,0.3826,"D02",1.22662076878944,1.30910605220884,7.79915292902562,8.09008870581408,3.59620008343508,2020-02-13,"Tank14",17,7.91690534267674
"D","03",0.0351,0.0311,0.0341,0.0357,0.5408,0.492,"D03",1.11327356221299,1.19609656363438,7.75677439047685,8.09008870581408,4.12003288786795,2020-02-13,"Tank15",17,7.8734461950169
"D","04",0.0354,0.0317,0.0354,0.036,0.4671,0.4092,"D04",1.16505894962487,1.24772765648446,7.77657771100302,8.09008870581408,3.87524792633921,2020-02-13,"Tank16",17,7.89377041583541
"D","05",0.0375,0.0345,0.0379,0.0365,0.528,0.6328,"D05",0.829837221010237,0.913504721010237,7.63168584866498,8.09008870581408,5.66622782293675,2020-02-13,"Tank17",17,7.74433347085552
"D","06",0.0366,0.0331,0.0362,0.0362,0.4203,0.5647,"D06",0.732841747022121,0.816798245036869,7.58026663211252,8.09008870581408,6.301810675267,2020-02-13,"Tank18",17,7.69085669514496
"D","07",0.0352,0.0319,0.0347,0.0352,0.554,0.7192,"D07",0.762746530314098,0.846613927027027,7.59671404389523,8.09008870581408,6.09850744361159,2020-02-13,"Tank19",17,7.70798869951161
"D","08",0.037,0.0336,0.0367,0.0364,0.4849,0.7736,"D08",0.612745762711864,0.697060086711864,7.50782143290977,8.09008870581408,7.19729157587429,2020-02-13,"Tank20",17,7.61510919194686
"E","01",0.0367,0.0331,0.0356,0.036,0.5101,0.4334,"E01",1.19874529485571,1.28131363324969,7.78905499393988,8.09008870581408,3.72101867879227,2020-02-13,"Tank13",17,7.90656140762299
"E","02",0.0363,0.0324,0.0344,0.0359,0.5612,0.488,"E02",1.16563876651982,1.24830574581498,7.77679509513076,8.09008870581408,3.87256088376589,2020-02-13,"Tank14",17,7.89399335967639
"E","03",0.0368,0.0335,0.038,0.0433,0.9402,1.8719,"E03",0.492612454853891,0.577284716044654,7.422142117765,8.09008870581408,8.25635678838782,2020-02-13,"Tank15",17,7.52500180542301
"E","04",0.0374,0.0337,0.0368,0.0364,0.5032,0.4415,"E04",1.15972393394134,1.24240853648016,7.77457311295342,8.09008870581408,3.90002636972212,2020-02-13,"Tank16",17,7.89171438968021
"E","05",0.0362,0.0328,0.037,0.0356,0.5467,0.6647,"E05",0.818876332961961,0.902576490927901,7.62614279636649,8.09008870581408,5.73474440538793,2020-02-13,"Tank17",17,7.73858030212735
"E","06",0.0371,0.0333,0.0362,0.0368,0.7369,1.5094,"E06",0.477706141839158,0.562422816389549,7.41032285318094,8.09008870581408,8.40245240011541,2020-02-13,"Tank18",17,7.51253810575428
"E","07",0.0388,0.0357,0.0387,0.0376,0.4485,0.5002,"E07",0.894748216987249,0.978222314674735,7.6632742214694,8.09008870581408,5.27577014128343,2020-02-13,"Tank19",17,7.77706584886009
"E","08",0.0375,0.034,0.0371,0.0366,0.514,0.754,"E08",0.669963778211201,0.754107621134021,7.5437181751199,8.09008870581408,6.75357898488218,2020-02-13,"Tank20",17,7.65269925575884
"F","01",0.0358,0.0319,0.0343,0.0359,0.6447,0.6148,"F01",1.05565127498277,1.13864596200896,7.73377949904015,8.09008870581408,4.40426823154439,2020-02-13,"Tank13",17,7.84980933307368
"F","02",0.0355,0.0314,0.0343,0.0354,0.4093,0.33,"F02",1.27789046653144,1.36022299188641,7.81721902004748,8.09008870581408,3.37288867513277,2020-02-13,"Tank14",17,7.93539463305816
"F","03",0.0363,0.0326,0.0357,0.0369,0.7846,0.7932,"F03",0.992733518298322,1.07591566878055,7.70739617144058,8.09008870581408,4.73038737014677,2020-02-13,"Tank15",17,7.82263761586675
"F","04",0.0354,0.0318,0.0348,0.0356,0.3752,0.3167,"F04",1.21831735889244,1.30082738232162,7.79616591122936,8.09008870581408,3.63312202465085,2020-02-13,"Tank16",17,7.91384627798166
"F","05",0.0364,0.0334,0.0376,0.0391,0.9215,2.3245,"F05",0.387619297784782,0.472604386087033,7.33163605440564,8.09008870581408,9.37508448904111,2020-02-13,"Tank17",17,7.42945391383181
"F","06",0.0418,0.0389,0.0428,0.0396,0.464,0.6001,"F06",0.763717605004468,0.847582108400357,7.59723878320002,8.09008870581408,6.09202124396819,2020-02-13,"Tank18",17,7.70853487147514
"F","07",0.0385,0.0347,0.038,0.0374,0.4394,0.4871,"F07",0.901377165704132,0.984831512438916,7.66638773358213,8.09008870581408,5.23728462862772,2020-02-13,"Tank19",17,7.78028725385759
"F","08",0.0405,0.037,0.04,0.0381,0.5721,0.836,"F08",0.673221442885772,0.757355579596693,7.54568229226794,8.09008870581408,6.72930091798489,2020-02-13,"Tank20",17,7.65475285927877
