"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"B","03",0.04,0.0367,0.0403,0.0395,0.3888,0.3209,"B03",1.25435787975809,1.33676052045535,7.79545512601469,8.06039433351718,3.28692612966593,2020-02-24,"Tank1",17,7.92792654270389
"B","04",0.0358,0.0327,0.0363,0.0358,0.3981,0.3253,"B04",1.2643598615917,1.34673270138408,7.79896381551259,8.06039433351718,3.24339613159488,2020-02-24,"Tank2",17,7.93152822127947
"B","05",0.0367,0.033,0.0359,0.0366,0.3272,0.3392,"B05",0.970006591957811,1.05325645731707,7.68390743884675,8.06039433351718,4.67082476479972,2020-02-24,"Tank3",17,7.8128938323619
"B","06",0.0354,0.0319,0.0357,0.0354,0.313,0.3857,"B06",0.803142857142857,0.886889893,7.60444085320509,8.06039433351718,5.65671431751319,2020-02-24,"Tank4",17,7.73022471656114
"B","07",0.0379,0.0342,0.0376,0.0381,0.3035,0.357,"B07",0.843045112781955,0.926673259868421,7.62465682326487,8.06039433351718,5.40590810105158,2020-02-24,"Tank7",17,7.75131720575564
"B","08",0.0372,0.0336,0.0369,0.0357,0.2967,0.3532,"B08",0.832599118942731,0.916258389867841,7.61944551549536,8.06039433351718,5.47056136184611,2020-02-24,"Tank8",17,7.7458840509242
"B","09",0.0387,0.0355,0.0393,0.0378,0.2763,0.3365,"B09",0.81080174438108,0.894525960583697,7.60838721500609,8.06039433351718,5.60775440764142,2020-02-24,"Tank9",17,7.73434555845748
"B","10",0.0392,0.0359,0.0404,0.0385,0.2959,0.3692,"B10",0.791198786039454,0.874981409256449,7.59822135474814,8.06039433351718,5.73387553568207,2020-02-24,"Tank10",17,7.72372690381169
"B","11",0.0366,0.033,0.0358,0.0368,0.5204,0.4001,"B11",1.33809393023895,1.4202470793738,7.82411610061403,8.06039433351718,2.93134830786938,2020-02-24,"Tank11",17,7.95732119752701
"B","12",0.0366,0.0333,0.0368,0.0366,0.3927,0.2907,"B12",1.41551792044112,1.49744038479716,7.84927459123241,8.06039433351718,2.61922349638506,2020-02-24,"Tank12",17,7.98307768486205
"C","02",0.0382,0.0343,0.0376,0.0363,0.461,0.3139,"C02",1.54061826024443,1.62216798813803,7.88753462848354,8.06039433351718,2.14455643087892,2020-02-24,"Sump",13.8,8.07129032267067
"C","03",0.0365,0.0326,0.0354,0.0363,0.3841,0.3165,"C03",1.25026661926769,1.33268144987558,7.79401295669,8.06039433351718,3.30481817396327,2020-02-24,"Tank1",17,7.92644588736622
"C","04",0.0374,0.0339,0.0376,0.037,0.3721,0.3098,"C04",1.24211298606016,1.3245521104182,7.79112661794598,8.06039433351718,3.34062707641379,2020-02-24,"Tank2",17,7.92348205591531
